Survey Category,Question ID,Domain Covered,Question,Guide Explanation,Answer Format,Survey Answer Options Style,Survey Answer Options Definitions,Answer Guide
Technology Infrastructure & End User Devices,ID_01,Network Connectivity Hardware,"What is the ratio of deployed Wi-Fi access points to your venue's maximum seating capacity?","Wi-Fi access point density is the single most important infrastructure metric. It determines whether mobile ordering, cashless payment, venue apps, and staff devices function reliably at full capacity. Higher AP density supports multi-device-per-fan environments and enables the mobile commerce layer that drives 16–25% per-cap spending increases. This metric will vary significantly across venues and correlates directly to mobile ordering adoption, app reliability, and POS uptime.",5-option single select,Drop down,"A: Fewer than 1 AP per 150 seats | B: 1 AP per 100–150 seats | C: 1 AP per 50–99 seats | D: 1 AP per 25–49 seats | E: 1 AP per 24 or fewer seats (high-density deployment)","Score A=1 through E=5. To calculate: divide total deployed APs by maximum seated capacity. Include all fan-facing APs (bowl, concourse, clubs, suites). Exclude back-of-house-only APs. If exact AP count is unknown, consult your network vendor or Extreme Networks deployment records. Venues scoring A or B likely experience connectivity complaints and lower mobile ordering adoption. Target benchmark for modern venues is D or E."
Technology Infrastructure & End User Devices,ID_02,Entry & Access Control Hardware,"What type of security screening hardware is deployed at your primary fan entry points?","Security screening hardware generation has the highest documented ROI of any stadium technology investment. AI-powered walkthrough screening (e.g., Evolv Express, Xtract One) processes fans at 10× the throughput of traditional metal detectors. Mercedes-Benz Stadium documented 6,000 additional fans entering an hour early after deploying Evolv systems, with those fans spending incremental time and money at concessions. Fan satisfaction with entry at MBS rose from 30% to 90%. This question captures the hardware deployed, not the security protocols or software — those belong to the Technology Services layer.",5-option single select,Drop down,"A: Traditional walk-through metal detectors with manual bag check at all entry points | B: Mix of traditional metal detectors and enhanced screening (e.g., Evolv, Xtract One) at select gates | C: Enhanced AI-powered screening hardware at majority of gates; traditional metal detectors at remaining gates | D: AI-powered walkthrough screening at all primary gates; traditional equipment retained only at service/VIP entrances | E: AI-powered walkthrough screening at all entry points venue-wide including VIP, service, and ADA entrances","Score A=1 through E=5. Answer based on the physical screening equipment installed, not security staffing levels or screening policies. 'Enhanced/AI-powered' refers to sensor-based systems that screen fans at walking pace without requiring them to stop, empty pockets, or remove items. If your venue uses a mix, select the option that best reflects the majority of primary fan gates. Venues scoring A or B should expect longer entry queues, higher gate staffing costs, and reduced pre-game spending time."
Technology Infrastructure & End User Devices,ID_03,Commerce & Transaction Hardware,"How many self-service kiosks, AI-powered checkout stations, or checkout-free store locations are deployed across your venue?","Self-service and autonomous checkout hardware has produced the strongest documented revenue lifts in NFL stadium technology: 85% more transactions and 112% higher sales per game at Lumen Field's first Just Walk Out store, 170% sales increase at Ford Field, and $14.6 million in concession sales across Mashgin deployments at 16 NFL stadiums in the 2024–25 season. This question captures the physical hardware footprint — the number of kiosk enclosures, checkout-free store sensor arrays, and AI-powered checkout stations deployed. Software platforms powering these devices belong to the Technology Services layer.",5-option single select,Drop down,"A: None deployed | B: 1–5 self-service kiosks or checkout stations (pilot scale) | C: 6–15 kiosks/stations across multiple concourse areas | D: 16–30 kiosks/stations with broad concourse coverage, or 1–5 checkout-free store locations | E: 30+ kiosks/stations and/or 6+ checkout-free store locations, or a venue-wide commitment to autonomous checkout","Score A=1 through E=5. Count all self-service ordering kiosks, Mashgin or similar AI checkout stations, and checkout-free retail/concession store locations. Do not count standard staffed POS terminals. A 'checkout-free store location' is a full grab-and-go environment (e.g., Amazon Just Walk Out, Zippin, AiFi) where fans enter, select items, and leave without a traditional checkout step. Venues scoring A are missing the fastest-growing revenue technology category in stadiums."
Technology Infrastructure & End User Devices,ID_04,Display & Signage Hardware,"What percentage of your venue's total wayfinding and advertising signage inventory is digital versus static/printed?","The ratio of digital to static signage directly determines sponsorship revenue potential from the hardware layer. Digital displays enable rotatable sponsor placements — where one static sign supported one sponsor, a digital display can rotate multiple sponsors per game, effectively multiplying inventory without adding physical space. Venues deploying digital signage report 35% increases in sponsorship revenue and 48% higher viewer recall versus static displays. Mercedes-Benz Stadium operates at 100% digital with zero static signs.",5-option single select,Drop down,"A: Less than 25% digital | B: 25–49% digital | C: 50–74% digital | D: 75–99% digital | E: 100% digital — zero static signage for advertising and wayfinding","Score A=1 through E=5. Calculate by counting total signage locations (wayfinding signs, advertising placements, menu boards, info displays) and determining what percentage are digital screens versus printed/static. Exclude the primary video board and LED ribbon boards — those are assumed digital. Include concourse wayfinding, gate-area signage, concession menu boards, advertising placements, and suite-level/club-level information displays."
Technology Infrastructure & End User Devices,ID_05,Entry & Access Control Hardware,"What is the approximate per-lane throughput capacity of your gate entry hardware (fans per minute per lane) at its designed operating speed?","Gate throughput is a direct operational performance metric that connects hardware capability to fan experience and revenue. Every minute a fan spends in an entry queue is a minute not spent at concessions or merchandise. When combined with the security screening question (ID_02), this creates a powerful entry-experience composite score. Clubs that cannot answer this question (Option A) reveal a measurement gap that is itself a meaningful data point.",5-option single select,Drop down,"A: We have not measured per-lane throughput | B: Fewer than 20 fans per lane per minute | C: 20–34 fans per lane per minute | D: 35–49 fans per lane per minute | E: 50+ fans per lane per minute","Score A=1 through E=5. This refers to the designed throughput of the physical gate hardware (turnstile speed, credential reader scan rate, screening device processing rate) measured as fans cleared per lane per minute. If you have not formally measured this, select A. Traditional metal detectors typically support 6–10 fans per minute; modern AI screening supports 30–60+. If your venue uses different hardware at different gates, estimate a weighted average across all primary fan entry lanes."
Technology Infrastructure & End User Devices,ID_06,Commerce & Transaction Hardware,"What payment credential types can your deployed POS terminal hardware accept across concession and retail locations?","POS terminal payment capability determines the ceiling for cashless transaction penetration, which is the most consistently documented revenue driver in stadium technology. Cashless venues report 16–25% higher per-cap spending and 50% faster transaction processing. Each additional credential type the hardware accepts removes a friction point. This question captures what the physical terminal hardware can accept, not which payment processors or platforms are integrated (Technology Services layer).",5-option single select,Drop down,"A: Chip/swipe credit and debit cards only | B: Chip/swipe + contactless NFC tap | C: Chip/swipe + NFC tap + mobile wallet (Apple Pay, Google Pay) | D: All of the above + QR code / app-based payment | E: All of the above + biometric payment-ready hardware (e.g., palm scan)","Score A=1 through E=5. Answer based on what the physical terminal hardware is capable of accepting, even if not all credential types are actively enabled today. If different locations have different terminal types, answer based on what the majority of your concession and retail POS terminals support. Venues at A or B have a hardware constraint limiting their cashless penetration rate."
Technology Infrastructure & End User Devices,ID_07,Supporting Infrastructure,"What level of power protection is in place for your network, POS, and fan-facing technology hardware?","Power resilience is the insurance policy for every other technology investment. A power failure during a game takes down Wi-Fi, POS, digital signage, security cameras, gate readers, and mobile ordering simultaneously — affecting every revenue stream and fan experience metric at once. This question captures the physical power protection hardware (UPS units, generators, transfer switches, redundant feeds) dedicated to technology infrastructure.",5-option single select,Drop down,"A: No dedicated UPS or generator backup for technology equipment | B: UPS on core network (MDF) only; no generator backup for technology | C: UPS on MDF and critical IDFs; generator covers core network but not all distribution or POS | D: UPS on all network closets and POS; generator backup covers all technology infrastructure for full game-day duration | E: Dual power feeds, UPS on all technology systems, generator with automatic transfer switch, documented runtime exceeding game day plus buffer, and load-tested at least annually","Score A=1 through E=5. Consider only power protection dedicated to or guaranteed for technology infrastructure. Building emergency generators that serve general lighting and life safety but do not have dedicated circuits for network closets, POS, and signage should not be counted. Venues scoring A or B carry significant operational risk."
Technology Infrastructure & End User Devices,ID_08,Network Connectivity Hardware,"What percentage of your venue's total fan-accessible square footage (bowl, concourse, clubs, restrooms, parking structures) is covered by venue-managed cellular enhancement hardware (DAS, small cells)?","While Wi-Fi handles the bulk of in-venue data traffic, cellular coverage enables mobile betting (14% of Soldier Field fans use betting apps during games), social sharing, streaming, and serves as a fallback when Wi-Fi is congested. Dead zones in concourses, parking structures, or lower-bowl seating create revenue leaks and fan frustration. This question captures the physical DAS antenna and small cell hardware footprint managed by the venue — not carrier-owned macro network coverage or network management software (Technology Services layer).",5-option single select,Drop down,"A: Less than 50% of fan-accessible areas | B: 50–74% of fan-accessible areas | C: 75–89% of fan-accessible areas | D: 90–99% of fan-accessible areas | E: 100% of fan-accessible areas including parking structures and outdoor plazas","Score A=1 through E=5. Include only venue-managed or venue-contracted DAS antennas, small cells, and repeaters — not coverage provided passively by carrier macro towers outside the venue. Fan-accessible areas include: bowl seating, concourses, clubs, suites, restrooms, elevators, parking structures, and any exterior plazas or tailgate zones within the venue footprint."
Technology Infrastructure & End User Devices,ID_09,Exterior & Parking Hardware,"Is fan-facing technology hardware (Wi-Fi APs, DAS, digital signage, POS terminals) deployed in exterior areas such as tailgate lots, plazas, and fan activation zones?","Exterior fan zones represent the largest untapped commerce and engagement territory for most NFL venues. Today, tailgate lots and plazas are largely technology-free — meaning fans spend 1–3 hours pre-game in areas with no mobile ordering, no digital sponsor activations, and no venue-managed connectivity. Venues like Buffalo's new Highmark Stadium are extending 5G coverage to 20,000+ tailgating fans. This question captures whether physical fan-facing hardware has been extended beyond the venue gates.",5-option single select,Drop down,"A: No venue-managed technology hardware extends beyond the venue gates | B: Cellular DAS/small cells extend to some exterior areas; no other fan-facing hardware | C: Wi-Fi APs and/or DAS in primary exterior fan zones; limited or no digital signage or POS | D: Wi-Fi, DAS, digital signage, and POS terminals deployed in primary exterior fan zones | E: Comprehensive hardware deployment in all exterior zones (Wi-Fi, DAS/5G, digital signage, POS, streaming-capable displays) treating exterior as a full extension of the in-venue footprint","Score A=1 through E=5. 'Exterior areas' means any venue-controlled outdoor space where fans gather before, during, or after events — tailgate parking lots, entry plazas, fan festival zones, team store exteriors, and activation areas. Only count hardware that is venue-managed or venue-contracted. Venues scoring A or B are missing pre-gate revenue capture entirely."
Technology Infrastructure & End User Devices,ID_10,Sensing & Capture Hardware,"Do you have Bluetooth Low Energy (BLE) beacons, Ultra-Wideband (UWB) anchors, or equivalent indoor positioning hardware deployed in the venue?","Indoor positioning hardware is the physical foundation for wayfinding, proximity-triggered offers, foot traffic measurement, and sponsor impression validation. Without beacons or anchors physically installed, the mobile app cannot offer turn-by-turn navigation, the venue cannot push location-based concession promotions, and sponsors cannot receive verified foot traffic data past their activation zones. This question captures the physical beacon/anchor hardware only — the positioning engine, analytics platform, and app features belong to other layers.",5-option single select,Drop down,"A: No indoor positioning hardware deployed | B: BLE beacons in limited zones (e.g., a few gates or sponsor activation areas) | C: BLE beacons or similar deployed across majority of concourse and gate areas | D: Venue-wide BLE beacon network covering concourse, bowl, clubs, and exterior plaza | E: Venue-wide BLE + UWB (or equivalent) providing section-level or sub-meter positioning accuracy throughout all fan areas","Score A=1 through E=5. Count only dedicated positioning hardware (BLE beacons, UWB anchors, or equivalent transmitters/receivers) — not Wi-Fi access points that happen to support rudimentary positioning as a secondary function. UWB provides sub-meter accuracy versus BLE's 3–5 meter accuracy. Venues scoring A have a ceiling on mobile app engagement, wayfinding capability, and sponsor impression measurement that no software investment can overcome."
Technology Services,TS_01,Point of Sale & Commerce Platforms,"How many distinct POS software platforms operate across your venue's concession, retail, and premium hospitality locations on game day?","POS platform consolidation is the most important Technology Services question because it determines whether your venue can produce reliable per-cap spend data, unified transaction reporting, and seamless mobile ordering integration. Venues running 3–4 separate POS platforms across different concessionaire operators cannot accurately measure total per-fan spending, cannot offer a single mobile ordering experience, and face significant integration costs when adding loyalty programs or dynamic concession pricing.",5-option single select,Drop down,"A: 4 or more distinct POS platforms across different operators/locations | B: 3 distinct POS platforms | C: 2 POS platforms (e.g., one for general concessions, one for premium/suites) | D: Single POS platform across all locations with minor exceptions (e.g., one third-party restaurant) | E: Single unified POS platform across 100% of locations with centralized reporting, integrated inventory, and real-time transaction visibility","Score A=1 through E=5. Count distinct POS software platforms, not terminal hardware brands. If the same software platform runs across all locations but is configured differently per area, that counts as one platform. Venues scoring A or B will have blind spots in their concession revenue data and face friction integrating mobile ordering or loyalty across the full venue."
